OID_;ICAO;OBS_DATETI;STATION_NA;COUNTRY;ELEVATION;TEMP;DEW_POINT;R_HUMIDITY;WIND_DIREC;WIND_SPEED;WIND_GUST;WIND_CHILL;VISIBILITY;PRESSURE;SKY_CONDTN;WEATHER;REMARKS;HEAT_INDEX;LATITUDE;LONGITUDE;Included;Predicted;Error;StdError;Stdd_Error;NormValue;CRPS;QuanVal;Interval90;Interval95
1;YSNF;01.03.2022 00:00:00;Norfolk Island A;Australia;113,0000000;73,4000015;69,8000031;89;90;41;59;0,0000000;6000;1005,9000244;Broken Clouds at 270 meters AGL, Overcast Cloud Deck at 370 meters AGL;Showers of Light Rain; ;0,0000000;-29,0300007;167,9299927;Yes;72,574002563388447;-0,825998962490459;6,886649974408012;-0,119942056814273;-0,069684907590576;1,653424717886423;0,548240971094195;Yes;Yes
2;YWHA;01.03.2022 00:00:00;Whyalla Airport;Australia;12,0000000;68,0000000;62,5999985;83;150;11;0;0,0000000;10000;1007,9000244; ;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-33,0699997;137,5200043;Yes;63,280754633281248;-4,719245366718752;3,953820363632191;-1,193591244085606;-0,861634107388036;2,938522766917741;0,884169698006864;Yes;Yes
3;YTRE;01.03.2022 00:00:00;Taree Airport;Australia;8,0000000;68,0000000;68,0000000;100;200;9;0;0,0000000;2400;1005,9000244;Scattered Clouds at 180 meters AGL, Scattered Clouds at 430 meters AGL, Broken Clouds at 670 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-31,8799992;152,5200043;Yes;67,965467104728162;-0,034532895271838;3,566171355885842;-0,009683464933574;0,210428390917388;0,837260620865229;0,503761826439267;Yes;Yes
4;YSTW;01.03.2022 00:00:00;Tamworth Airport;Australia;404,0000000;62,5999985;60,7999992;94;190;9;0;0,0000000;10000;1006,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-31,0799999;150,8500061;Yes;66,418374785855974;3,818376311734880;3,338875796148743;1,143611366478269;1,914505839703239;2,353123217443919;0,125632620874942;Yes;Yes
5;YSCB;01.03.2022 00:00:00;Canberra (Civ/Mi;Australia;577,0000000;60,7999992;59,0000000;94;170;9;0;0,0000000;10000;1013,9000244;Scattered Clouds at 1000 meters AGL, Broken Clouds at 1500 meters AGL, Overcast Cloud Deck at 1900 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-35,2999992;149,1799927;Yes;63,032252082491802;2,232252845431255;3,127437371033703;0,713764203915436;1,085324894740702;1,334479031907829;0,236910684183719;Yes;Yes
6;YPKU;01.03.2022 00:00:00;Kununurra Airpor;Australia;42,0000000;77,0000000;75,1999969;94;10;7;0;0,0000000;10000;1006,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-15,7700005;128,6999969;Yes;79,997017954241798;2,997017954241798;5,144508761838170;0,582566400989264;0,861634107388036;1,875786930386714;0,279316762218950;Yes;Yes
7;YPGV;01.03.2022 00:00:00;Gove Airport;Australia;53,0000000;82,4000015;77,0000000;84;300;17;0;0,0000000;10000;1005,9000244;Scattered Clouds at 460 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;90,9000015;-12,2700005;136,8200073;Yes;80,085590441679827;-2,314411084199079;5,535717426245176;-0,418086926407463;-0,674489749382381;1,672259425899226;0,662876533159641;Yes;Yes
8;YPDN;01.03.2022 00:00:00;Darwin (Civ/Mil);Australia;32,0000000;80,5999985;77,0000000;89;280;13;0;0,0000000;10000;1006,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;87,5999985;-12,4200001;130,8999939;Yes;79,749257354363806;-0,850741119757288;5,258216557113499;-0,161792712513214;-0,210428390917388;1,288597065118529;0,564443752739105;Yes;Yes
9;YMTG;01.03.2022 00:00:00;Mount Gambier;Australia;65,0000000;62,5999985;60,7999992;94;30;11;0;0,0000000;190;1008,9000244;Overcast Cloud Deck at 30 meters AGL;Fog; ;0,0000000;-37,7500000;140,7799988;Yes;65,444795064688506;2,844796590567412;5,069162630645242;0,561196552142440;0,674489749382381;1,801826334618565;0,286592333730024;Yes;Yes
10;YMDG;01.03.2022 00:00:00;Mudgee Arpt;Australia;470,0000000;66,1999969;59,0000000;78;120;17;0;0,0000000;10000;1008,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-32,5699997;149,6199951;Yes;65,222041267281526;-0,977955680960662;3,125431661424066;-0,312902596153732;-0,508488071230162;0,852523146650259;0,623894717505282;Yes;Yes
