OID_;ICAO;OBS_DATETI;STATION_NA;COUNTRY;ELEVATION;TEMP;DEW_POINT;R_HUMIDITY;WIND_DIREC;WIND_SPEED;WIND_GUST;WIND_CHILL;VISIBILITY;PRESSURE;SKY_CONDTN;WEATHER;REMARKS;HEAT_INDEX;LATITUDE;LONGITUDE;Included;Predicted;Error;StdError;Stdd_Error;NormValue
1;YSNF;01.03.2022 00:00:00;Norfolk Island A;Australia;113,0000000;73,4000015;69,8000031;89;90;41;59;0,0000000;6000;1005,9000244;Broken Clouds at 270 meters AGL, Overcast Cloud Deck at 370 meters AGL;Showers of Light Rain; ;0,0000000;-29,0300007;167,9299927;Yes;73,548883949072746;0,148882423193839;8,025842350564142;0,018550379722245;0,210428390917388
2;YWHA;01.03.2022 00:00:00;Whyalla Airport;Australia;12,0000000;68,0000000;62,5999985;83;150;11;0;0,0000000;10000;1007,9000244; ;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-33,0699997;137,5200043;Yes;64,265719050754669;-3,734280949245331;5,502954483119764;-0,678595645430139;-1,085324894740702
3;YTRE;01.03.2022 00:00:00;Taree Airport;Australia;8,0000000;68,0000000;68,0000000;100;200;9;0;0,0000000;2400;1005,9000244;Scattered Clouds at 180 meters AGL, Scattered Clouds at 430 meters AGL, Broken Clouds at 670 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-31,8799992;152,5200043;Yes;67,858426161121685;-0,141573838878315;5,381954277870140;-0,026305284580445;-0,069684907590576
4;YSTW;01.03.2022 00:00:00;Tamworth Airport;Australia;404,0000000;62,5999985;60,7999992;94;190;9;0;0,0000000;10000;1006,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-31,0799999;150,8500061;Yes;67,082450340080442;4,482451865959348;5,203747834886038;0,861389138787413;1,382994128025701
5;YSCB;01.03.2022 00:00:00;Canberra (Civ/Mi;Australia;577,0000000;60,7999992;59,0000000;94;170;9;0;0,0000000;10000;1013,9000244;Scattered Clouds at 1000 meters AGL, Broken Clouds at 1500 meters AGL, Overcast Cloud Deck at 1900 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-35,2999992;149,1799927;Yes;65,566904364625117;4,766905127564570;5,186215161945578;0,919149124884416;1,914505839703239
6;YPKU;01.03.2022 00:00:00;Kununurra Airpor;Australia;42,0000000;77,0000000;75,1999969;94;10;7;0;0,0000000;10000;1006,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-15,7700005;128,6999969;Yes;77,771472066790139;0,771472066790139;6,353688266045134;0,121421139106395;0,355490431072021
7;YPGV;01.03.2022 00:00:00;Gove Airport;Australia;53,0000000;82,4000015;77,0000000;84;300;17;0;0,0000000;10000;1005,9000244;Scattered Clouds at 460 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;90,9000015;-12,2700005;136,8200073;Yes;78,845780563812696;-3,554220962066211;6,765162596460738;-0,525371106959888;-0,508488071230162
8;YPDN;01.03.2022 00:00:00;Darwin (Civ/Mil);Australia;32,0000000;80,5999985;77,0000000;89;280;13;0;0,0000000;10000;1006,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;87,5999985;-12,4200001;130,8999939;Yes;76,723404488878984;-3,876593985242110;6,671830857159125;-0,581039008367902;-0,861634107388036
9;YMTG;01.03.2022 00:00:00;Mount Gambier;Australia;65,0000000;62,5999985;60,7999992;94;30;11;0;0,0000000;190;1008,9000244;Overcast Cloud Deck at 30 meters AGL;Fog; ;0,0000000;-37,7500000;140,7799988;Yes;66,246796737893334;3,646798263772240;6,150952955721785;0,592883458876057;0,674489749382381
10;YMDG;01.03.2022 00:00:00;Mudgee Arpt;Australia;470,0000000;66,1999969;59,0000000;78;120;17;0;0,0000000;10000;1008,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-32,5699997;149,6199951;Yes;66,173444000285357;-0,026552947956830;5,187482792736459;-0,005118657548900;0,069684907590576
11;YBWW;01.03.2022 00:00:00; ; ;460,0000000;68,0000000;66,1999969;94;120;4;0;0,0000000;10000;1005,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-27,5499992;151,8000031;Yes;71,292736074768669;3,292736074768669;5,184730296692869;0,635083386472190;0,861634107388036
12;YBTL;01.03.2022 00:00:00;Townsville(Civ/M;Australia;4,0000000;84,1999969;78,8000031;84;0;0;0;0,0000000;10000;1002,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;96,0999985;-19,2500000;146,7500000;Yes;76,346491358981851;-7,853505589260337;5,729284703853663;-1,370765461171421;-1,914505839703240
13;YBCV;01.03.2022 00:00:00;Charleville Arpt;Australia;306,0000000;71,5999985;51,7999992;50;360;4;0;0,0000000;10000;1002,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;76,0000000;-26,3999996;146,2700043;Yes;74,847991734603141;3,247993260482048;5,972860643273079;0,543791903824191;0,508488071230162
14;YBCS;01.03.2022 00:00:00;Cairns Airport;Australia;2,0000000;77,0000000;75,1999969;94;120;2;0;0,0000000;10000;1002,9000244;Scattered Clouds at 3200 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-16,8700008;145,7500000;Yes;72,700886278474641;-4,299113721525359;5,847166880008921;-0,735247310321131;-1,382994128025701
15;YARG;01.03.2022 00:00:00;Argyle Aero;Australia;157,0000000;80,5999985;73,4000015;79;340;9;0;0,0000000;10000;1006,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;85,4000015;-16,6299992;128,4499969;Yes;78,270852489466861;-2,329145984654232;6,323151527480233;-0,368352074836706;-0,210428390917388
16;YKRY;01.03.2022 00:00:00;Kingaroy Arpt;Australia;435,0000000;69,8000031;69,8000031;100;20;7;0;0,0000000;10000;1006,9000244;Scattered Clouds at 270 meters AGL, Overcast Cloud Deck at 550 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-26,5699997;151,8300018;Yes;73,381044759265635;3,581041707507822;5,247509143974378;0,682426959011566;1,085324894740702
17;YCNM;01.03.2022 00:00:00;Coonamble;Australia;180,0000000;69,8000031;62,5999985;78;150;13;0;0,0000000;0;1005,9000244; ;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-30,9799995;148,3800049;Yes;66,867888041270774;-2,932115010487038;5,314202053627276;-0,551750757855676;-0,674489749382381
18;YBPN;01.03.2022 00:00:00;Prosperine Airpo;Australia;20,0000000;80,5999985;78,8000031;94;330;9;0;0,0000000;10000;1002,9000244;Scattered Clouds at 760 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;89,1999969;-20,5000000;148,5500031;Yes;77,770312516861523;-2,829685957259571;5,698028701555683;-0,496607880631947;-0,355490431072021
