OID_;ICAO;OBS_DATETI;STATION_NA;COUNTRY;ELEVATION;TEMP;DEW_POINT;R_HUMIDITY;WIND_DIREC;WIND_SPEED;WIND_GUST;WIND_CHILL;VISIBILITY;PRESSURE;SKY_CONDTN;WEATHER;REMARKS;HEAT_INDEX;LATITUDE;LONGITUDE;Included;Predicted;Error;StdError;Stdd_Error;NormValue
1;YSNF;01.03.2022 00:00:00;Norfolk Island A;Australia;113,0000000;73,4000015;69,8000031;89;90;41;59;0,0000000;6000;1005,9000244;Broken Clouds at 270 meters AGL, Overcast Cloud Deck at 370 meters AGL;Showers of Light Rain; ;0,0000000;-29,0300007;167,9299927;Yes;72,736221138832548;-0,663780387046359;8,421940766463679;-0,078815608593395;-0,069684907590576
2;YWHA;01.03.2022 00:00:00;Whyalla Airport;Australia;12,0000000;68,0000000;62,5999985;83;150;11;0;0,0000000;10000;1007,9000244; ;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-33,0699997;137,5200043;Yes;63,836247320952317;-4,163752679047683;5,273314524052608;-0,789589291527369;-1,382994128025701
3;YTRE;01.03.2022 00:00:00;Taree Airport;Australia;8,0000000;68,0000000;68,0000000;100;200;9;0;0,0000000;2400;1005,9000244;Scattered Clouds at 180 meters AGL, Scattered Clouds at 430 meters AGL, Broken Clouds at 670 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-31,8799992;152,5200043;Yes;67,849605511816435;-0,150394488183565;5,154157362192154;-0,029179258143488;0,069684907590576
4;YSTW;01.03.2022 00:00:00;Tamworth Airport;Australia;404,0000000;62,5999985;60,7999992;94;190;9;0;0,0000000;10000;1006,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-31,0799999;150,8500061;Yes;67,178185259566433;4,578186785445340;4,979509705418435;0,919405133494087;1,382994128025701
5;YSCB;01.03.2022 00:00:00;Canberra (Civ/Mi;Australia;577,0000000;60,7999992;59,0000000;94;170;9;0;0,0000000;10000;1013,9000244;Scattered Clouds at 1000 meters AGL, Broken Clouds at 1500 meters AGL, Overcast Cloud Deck at 1900 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-35,2999992;149,1799927;Yes;65,721599533952002;4,921600296891455;4,953020807392895;0,993656293457411;1,914505839703239
6;YPKU;01.03.2022 00:00:00;Kununurra Airpor;Australia;42,0000000;77,0000000;75,1999969;94;10;7;0;0,0000000;10000;1006,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-15,7700005;128,6999969;Yes;79,373773762151401;2,373773762151401;6,187376345452234;0,383647871023094;0,355490431072021
7;YPGV;01.03.2022 00:00:00;Gove Airport;Australia;53,0000000;82,4000015;77,0000000;84;300;17;0;0,0000000;10000;1005,9000244;Scattered Clouds at 460 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;90,9000015;-12,2700005;136,8200073;Yes;80,609647800195219;-1,790353725683687;6,662233195362983;-0,268731771041848;-0,508488071230162
8;YPDN;01.03.2022 00:00:00;Darwin (Civ/Mil);Australia;32,0000000;80,5999985;77,0000000;89;280;13;0;0,0000000;10000;1006,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;87,5999985;-12,4200001;130,8999939;Yes;79,437115175161352;-1,162883298959741;6,601953935296302;-0,176142292169379;-0,210428390917388
9;YMTG;01.03.2022 00:00:00;Mount Gambier;Australia;65,0000000;62,5999985;60,7999992;94;30;11;0;0,0000000;190;1008,9000244;Overcast Cloud Deck at 30 meters AGL;Fog; ;0,0000000;-37,7500000;140,7799988;Yes;65,479431579212843;2,879433105091749;6,002709576231805;0,479688891911927;0,508488071230162
10;YMDG;01.03.2022 00:00:00;Mudgee Arpt;Australia;470,0000000;66,1999969;59,0000000;78;120;17;0;0,0000000;10000;1008,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-32,5699997;149,6199951;Yes;66,423594107652136;0,223597159409948;4,960712429174174;0,045073598319258;0,210428390917388
11;YBWW;01.03.2022 00:00:00; ; ;460,0000000;68,0000000;66,1999969;94;120;4;0;0,0000000;10000;1005,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-27,5499992;151,8000031;Yes;71,203796243798209;3,203796243798209;4,954693609422278;0,646618438263385;0,861634107388036
12;YBTL;01.03.2022 00:00:00;Townsville(Civ/M;Australia;4,0000000;84,1999969;78,8000031;84;0;0;0;0,0000000;10000;1002,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;96,0999985;-19,2500000;146,7500000;Yes;76,414493880215218;-7,785503068026969;5,505329978112040;-1,414175553323849;-1,914505839703240
13;YBCV;01.03.2022 00:00:00;Charleville Arpt;Australia;306,0000000;71,5999985;51,7999992;50;360;4;0;0,0000000;10000;1002,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;76,0000000;-26,3999996;146,2700043;Yes;74,689048427842039;3,089049953720945;5,780599873854295;0,534382247713208;0,674489749382381
14;YBCS;01.03.2022 00:00:00;Cairns Airport;Australia;2,0000000;77,0000000;75,1999969;94;120;2;0;0,0000000;10000;1002,9000244;Scattered Clouds at 3200 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-16,8700008;145,7500000;Yes;72,881544700183127;-4,118455299816873;5,626192869248305;-0,732014595931747;-1,085324894740702
15;YARG;01.03.2022 00:00:00;Argyle Aero;Australia;157,0000000;80,5999985;73,4000015;79;340;9;0;0,0000000;10000;1006,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;85,4000015;-16,6299992;128,4499969;Yes;79,501641713990708;-1,098356760130386;6,147514393208020;-0,178666805781518;-0,355490431072021
16;YKRY;01.03.2022 00:00:00;Kingaroy Arpt;Australia;435,0000000;69,8000031;69,8000031;100;20;7;0;0,0000000;10000;1006,9000244;Scattered Clouds at 270 meters AGL, Overcast Cloud Deck at 550 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-26,5699997;151,8300018;Yes;73,278509360542728;3,478506308784915;5,014225317843758;0,693727562741588;1,085324894740702
17;YCNM;01.03.2022 00:00:00;Coonamble;Australia;180,0000000;69,8000031;62,5999985;78;150;13;0;0,0000000;0;1005,9000244; ;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-30,9799995;148,3800049;Yes;66,779870028602161;-3,020133023155651;5,081460627759869;-0,594343485937243;-0,861634107388036
