OID_;ICAO;OBS_DATETI;STATION_NA;COUNTRY;ELEVATION;TEMP;DEW_POINT;R_HUMIDITY;WIND_DIREC;WIND_SPEED;WIND_GUST;WIND_CHILL;VISIBILITY;PRESSURE;SKY_CONDTN;WEATHER;REMARKS;HEAT_INDEX;LATITUDE;LONGITUDE;Included;Predicted;Error;StdError;Stdd_Error;NormValue
1;YESP;01.03.2022 00:00:00;Esperance Arpt;Australia;143,0000000;68,0000000;62,5999985;83;230;24;0;0,0000000;10000;1005,9000244;Scattered Clouds at 430 meters AGL, Overcast Cloud Deck at 640 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-33,6800003;121,8199997;Yes;71,445650368391199;3,445650368391199;5,974527265510226;0,576723515562857;0,089642336470288
2;YSNW;01.03.2022 00:00:00;Nowra (Aus-Navy);Australia;109,0000000;62,5999985;62,5999985;100;50;35;54;0,0000000;2600;1011,9000244;Scattered Clouds at 340 meters AGL, Broken Clouds at 520 meters AGL, Broken Clouds at 940 meters AGL;Showers of Heavy Rain; ;0,0000000;-34,9500008;150,5299988;Yes;66,078764663996708;3,478766189875614;4,832880362073275;0,719812188436472;0,271880010895794
3;YSNF;01.03.2022 00:00:00;Norfolk Island A;Australia;113,0000000;73,4000015;69,8000031;89;90;41;59;0,0000000;6000;1005,9000244;Broken Clouds at 270 meters AGL, Overcast Cloud Deck at 370 meters AGL;Showers of Light Rain; ;0,0000000;-29,0300007;167,9299927;Yes;72,879487848763134;-0,520513677115773;7,584656687557442;-0,068627190202250;-0,271880010895795
4;YSCB;01.03.2022 00:00:00;Canberra (Civ/Mi;Australia;577,0000000;60,7999992;59,0000000;94;170;9;0;0,0000000;10000;1013,9000244;Scattered Clouds at 1000 meters AGL, Broken Clouds at 1500 meters AGL, Overcast Cloud Deck at 1900 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-35,2999992;149,1799927;Yes;65,933236479386352;5,133237242325805;4,726917867884882;1,085958627968024;0,674489749382381
5;YMER;01.03.2022 00:00:00;Merimbula Arpt;Australia;2,0000000;66,1999969;66,1999969;100;40;6;0;0,0000000;10000;1014,9000244;Scattered Clouds at 1500 meters AGL, Broken Clouds at 1900 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-36,9199982;149,8999939;Yes;64,723016928093116;-1,476980020149071;5,090474253544844;-0,290145858044670;-1,241866785092236
6;YBLN;01.03.2022 00:00:00;Busselton Margar;Australia;17,0000000;59,0000000;57,2000008;94;230;7;0;0,0000000;10000;1009,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-33,6800003;115,4000015;Yes;65,497596876950851;6,497596876950851;5,448354358440914;1,192579712970466;0,920822961939076
7;YBBN;01.03.2022 00:00:00;Brisbane Intl Ar;Australia;3,0000000;71,5999985;69,8000031;94;240;7;0;0,0000000;10000;1004,9000244;Few Clouds at 550 meters AGL;No significant weather present at this time.; ;0,0000000;-27,3799992;153,1300049;Yes;71,103438251591442;-0,496560222529652;4,658742907830230;-0,106586740748251;-0,463707765610194
8;YBAS;01.03.2022 00:00:00;Alice Springs Ar;Australia;549,0000000;75,1999969;55,4000015;50;110;11;0;0,0000000;10000;1008,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;77,4000015;-23,7999992;133,8999939;Yes;81,556578542383278;6,356581594141090;5,279912080696762;1,203918076094602;1,241866785092236
9;YABA;01.03.2022 00:00:00;Albany Airport;Australia;67,0000000;62,5999985;59,0000000;88;210;17;0;0,0000000;10000;1008,9000244;Broken Clouds at 640 meters AGL, Broken Clouds at 850 meters AGL, Broken Clouds at 1200 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-34,9300003;117,8000031;Yes;68,177228277512540;5,577229803391447;6,062368616821283;0,919975368689439;0,463707765610194
10;YCDU;01.03.2022 00:00:00;Ceduna Airport;Australia;21,0000000;55,4000015;53,5999985;94;110;11;0;0,0000000;10000;1007,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-32,1199989;133,6999969;Yes;69,632743761581139;14,232742235702233;5,259569768049395;2,706065869144407;1,802743105649806
11;YPBO;01.03.2022 00:00:00;Paraburdoo;Australia;425,0000000;89,5999985;64,4000015;43;280;15;0;0,0000000;10000;1006,9000244; ;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;91,0999985;-23,1700001;117,7500000;Yes;81,951368614992390;-7,648629859128704;4,861481351702541;-1,573312598730853;-1,802743105649806
12;YNBR;01.03.2022 00:00:00;Narrabri;Australia;230,0000000;68,0000000;60,7999992;78;150;24;0;0,0000000;10000;1004,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-30,3199997;149,8300018;Yes;67,082315006950864;-0,917684993049136;4,639252937164078;-0,197808786345266;-0,920822961939076
13;YLEC;01.03.2022 00:00:00;Leigh Creek;Australia;261,0000000;69,8000031;51,7999992;53;210;9;0;0,0000000;10000;1007,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-30,6000004;138,4299927;Yes;69,221682201368679;-0,578320850389133;4,844256621598541;-0,119382785753058;-0,674489749382381
14;YHUG;01.03.2022 00:00:00;Hughenden Arpt;Australia;320,0000000;78,8000031;59,0000000;51;100;4;0;0,0000000;10000;1004,9000244;Overcast Cloud Deck at 3800 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;80,0000000;-20,8199997;144,2299957;Yes;81,536335929574520;2,736332877816707;4,776139135810788;0,572917329250332;-0,089642336470288
