OID_;ICAO;OBS_DATETI;STATION_NA;COUNTRY;ELEVATION;TEMP;DEW_POINT;R_HUMIDITY;WIND_DIREC;WIND_SPEED;WIND_GUST;WIND_CHILL;VISIBILITY;PRESSURE;SKY_CONDTN;WEATHER;REMARKS;HEAT_INDEX;LATITUDE;LONGITUDE;Included;Predicted;Error;StdError;Stdd_Error;NormValue
1;YESP;01.03.2022 00:00:00;Esperance Arpt;Australia;143,0000000;68,0000000;62,5999985;83;230;24;0;0,0000000;10000;1005,9000244;Scattered Clouds at 430 meters AGL, Overcast Cloud Deck at 640 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-33,6800003;121,8199997;Yes;70,799840520175295;2,799840520175295;6,412046956695866;0,436653152898627;-0,089642336470288
2;YSNW;01.03.2022 00:00:00;Nowra (Aus-Navy);Australia;109,0000000;62,5999985;62,5999985;100;50;35;54;0,0000000;2600;1011,9000244;Scattered Clouds at 340 meters AGL, Broken Clouds at 520 meters AGL, Broken Clouds at 940 meters AGL;Showers of Heavy Rain; ;0,0000000;-34,9500008;150,5299988;Yes;66,639195760691251;4,039197286570158;5,088095433323515;0,793852501294729;0,271880010895794
3;YSNF;01.03.2022 00:00:00;Norfolk Island A;Australia;113,0000000;73,4000015;69,8000031;89;90;41;59;0,0000000;6000;1005,9000244;Broken Clouds at 270 meters AGL, Overcast Cloud Deck at 370 meters AGL;Showers of Light Rain; ;0,0000000;-29,0300007;167,9299927;Yes;73,628230918004164;0,228229392125257;7,448522181015402;0,030640895815141;-0,271880010895795
4;YSCB;01.03.2022 00:00:00;Canberra (Civ/Mi;Australia;577,0000000;60,7999992;59,0000000;94;170;9;0;0,0000000;10000;1013,9000244;Scattered Clouds at 1000 meters AGL, Broken Clouds at 1500 meters AGL, Overcast Cloud Deck at 1900 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-35,2999992;149,1799927;Yes;66,199647450861008;5,399648213800461;4,930383677285176;1,095178097128067;0,920822961939076
5;YMER;01.03.2022 00:00:00;Merimbula Arpt;Australia;2,0000000;66,1999969;66,1999969;100;40;6;0;0,0000000;10000;1014,9000244;Scattered Clouds at 1500 meters AGL, Broken Clouds at 1900 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-36,9199982;149,8999939;Yes;65,290903331511700;-0,909093616730487;5,127002129716454;-0,177314850614420;-1,241866785092236
6;YBLN;01.03.2022 00:00:00;Busselton Margar;Australia;17,0000000;59,0000000;57,2000008;94;230;7;0;0,0000000;10000;1009,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-33,6800003;115,4000015;Yes;66,876806441635182;7,876806441635182;5,571413593526558;1,413789572324565;1,241866785092236
7;YBBN;01.03.2022 00:00:00;Brisbane Intl Ar;Australia;3,0000000;71,5999985;69,8000031;94;240;7;0;0,0000000;10000;1004,9000244;Few Clouds at 550 meters AGL;No significant weather present at this time.; ;0,0000000;-27,3799992;153,1300049;Yes;71,559772464917714;-0,040226009203380;5,601347822783413;-0,007181487469812;-0,674489749382381
8;YBAS;01.03.2022 00:00:00;Alice Springs Ar;Australia;549,0000000;75,1999969;55,4000015;50;110;11;0;0,0000000;10000;1008,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;77,4000015;-23,7999992;133,8999939;Yes;80,940215678050535;5,740218729808348;5,474994834701132;1,048442766270061;0,674489749382381
9;YABA;01.03.2022 00:00:00;Albany Airport;Australia;67,0000000;62,5999985;59,0000000;88;210;17;0;0,0000000;10000;1008,9000244;Broken Clouds at 640 meters AGL, Broken Clouds at 850 meters AGL, Broken Clouds at 1200 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-34,9300003;117,8000031;Yes;68,269298894223070;5,669300420101976;6,159800409385956;0,920370798291356;0,463707765610194
10;YCDU;01.03.2022 00:00:00;Ceduna Airport;Australia;21,0000000;55,4000015;53,5999985;94;110;11;0;0,0000000;10000;1007,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-32,1199989;133,6999969;Yes;70,021974237974945;14,621972712096039;5,895757916612059;2,480083632826366;1,802743105649806
11;YPBO;01.03.2022 00:00:00;Paraburdoo;Australia;425,0000000;89,5999985;64,4000015;43;280;15;0;0,0000000;10000;1006,9000244; ;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;91,0999985;-23,1700001;117,7500000;Yes;81,475310231057094;-8,124688243064000;5,028363814712156;-1,615771758457992;-1,802743105649806
12;YNBR;01.03.2022 00:00:00;Narrabri;Australia;230,0000000;68,0000000;60,7999992;78;150;24;0;0,0000000;10000;1004,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-30,3199997;149,8300018;Yes;67,546186863224577;-0,453813136775423;5,039552110446628;-0,090050291539738;-0,920822961939076
13;YLEC;01.03.2022 00:00:00;Leigh Creek;Australia;261,0000000;69,8000031;51,7999992;53;210;9;0;0,0000000;10000;1007,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-30,6000004;138,4299927;Yes;69,763185040008850;-0,036818011748963;5,564267792489994;-0,006616865528768;-0,463707765610194
14;YHUG;01.03.2022 00:00:00;Hughenden Arpt;Australia;320,0000000;78,8000031;59,0000000;51;100;4;0;0,0000000;10000;1004,9000244;Overcast Cloud Deck at 3800 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;80,0000000;-20,8199997;144,2299957;Yes;81,131243225971730;2,331240174213917;4,990273112613358;0,467156831220620;0,089642336470288
