OID_;ICAO;OBS_DATETI;STATION_NA;COUNTRY;ELEVATION;TEMP;DEW_POINT;R_HUMIDITY;WIND_DIREC;WIND_SPEED;WIND_GUST;WIND_CHILL;VISIBILITY;PRESSURE;SKY_CONDTN;WEATHER;REMARKS;HEAT_INDEX;LATITUDE;LONGITUDE;Predicted;Error
1;YESP;01.03.2022 00:00:00;Esperance Arpt;Australia;143,0000000;68,0000000;62,5999985;83;230;24;0;0,0000000;10000;1005,9000244;Scattered Clouds at 430 meters AGL, Overcast Cloud Deck at 640 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-33,6800003;121,8199997;73,728644652836820;5,728644652836820
2;YSNW;01.03.2022 00:00:00;Nowra (Aus-Navy);Australia;109,0000000;62,5999985;62,5999985;100;50;35;54;0,0000000;2600;1011,9000244;Scattered Clouds at 340 meters AGL, Broken Clouds at 520 meters AGL, Broken Clouds at 940 meters AGL;Showers of Heavy Rain; ;0,0000000;-34,9500008;150,5299988;65,841892958119132;3,241894483998038
3;YSNF;01.03.2022 00:00:00;Norfolk Island A;Australia;113,0000000;73,4000015;69,8000031;89;90;41;59;0,0000000;6000;1005,9000244;Broken Clouds at 270 meters AGL, Overcast Cloud Deck at 370 meters AGL;Showers of Light Rain; ;0,0000000;-29,0300007;167,9299927;71,111384509325475;-2,288617016553431
4;YSCB;01.03.2022 00:00:00;Canberra (Civ/Mi;Australia;577,0000000;60,7999992;59,0000000;94;170;9;0;0,0000000;10000;1013,9000244;Scattered Clouds at 1000 meters AGL, Broken Clouds at 1500 meters AGL, Overcast Cloud Deck at 1900 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-35,2999992;149,1799927;63,913717576437790;3,113718339377243
5;YMER;01.03.2022 00:00:00;Merimbula Arpt;Australia;2,0000000;66,1999969;66,1999969;100;40;6;0;0,0000000;10000;1014,9000244;Scattered Clouds at 1500 meters AGL, Broken Clouds at 1900 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-36,9199982;149,8999939;61,518431346135301;-4,681565602106886
6;YBLN;01.03.2022 00:00:00;Busselton Margar;Australia;17,0000000;59,0000000;57,2000008;94;230;7;0;0,0000000;10000;1009,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-33,6800003;115,4000015;68,305747355880342;9,305747355880342
7;YBBN;01.03.2022 00:00:00;Brisbane Intl Ar;Australia;3,0000000;71,5999985;69,8000031;94;240;7;0;0,0000000;10000;1004,9000244;Few Clouds at 550 meters AGL;No significant weather present at this time.; ;0,0000000;-27,3799992;153,1300049;70,643163333996739;-0,956835140124355
8;YBAS;01.03.2022 00:00:00;Alice Springs Ar;Australia;549,0000000;75,1999969;55,4000015;50;110;11;0;0,0000000;10000;1008,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;77,4000015;-23,7999992;133,8999939;80,512606275928064;5,312609327685877
9;YABA;01.03.2022 00:00:00;Albany Airport;Australia;67,0000000;62,5999985;59,0000000;88;210;17;0;0,0000000;10000;1008,9000244;Broken Clouds at 640 meters AGL, Broken Clouds at 850 meters AGL, Broken Clouds at 1200 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-34,9300003;117,8000031;71,367186824677447;8,767188350556353
10;YCDU;01.03.2022 00:00:00;Ceduna Airport;Australia;21,0000000;55,4000015;53,5999985;94;110;11;0;0,0000000;10000;1007,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-32,1199989;133,6999969;70,880239019372652;15,480237493493746
11;YPBO;01.03.2022 00:00:00;Paraburdoo;Australia;425,0000000;89,5999985;64,4000015;43;280;15;0;0,0000000;10000;1006,9000244; ;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;91,0999985;-23,1700001;117,7500000;82,196447564093091;-7,403550910028002
12;YNBR;01.03.2022 00:00:00;Narrabri;Australia;230,0000000;68,0000000;60,7999992;78;150;24;0;0,0000000;10000;1004,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-30,3199997;149,8300018;65,502485022773286;-2,497514977226714
13;YLEC;01.03.2022 00:00:00;Leigh Creek;Australia;261,0000000;69,8000031;51,7999992;53;210;9;0;0,0000000;10000;1007,9000244;Sky Clear below 3700 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;0,0000000;-30,6000004;138,4299927;69,583433139905011;-0,216569911852801
14;YHUG;01.03.2022 00:00:00;Hughenden Arpt;Australia;320,0000000;78,8000031;59,0000000;51;100;4;0;0,0000000;10000;1004,9000244;Overcast Cloud Deck at 3800 meters AGL;"Automated observation with no human augmentation; there may or may not be significant weather present at this time."; ;80,0000000;-20,8199997;144,2299957;82,420597618363900;3,620594566606087
