Numer heksagonu;strona lewa;Strona prawa ;wartośc max
1;70;50;70
2;40;35;40
3;80;70;80
4;75;80;80
5;30;45;45
6;30;45;45
7;25;25;25
8;30;30;30
9;94;80;94
10;60;70;70
11;25;35;35
12;40;80;80
13;50;70;70
14;50;40;50
15;30;30;30
16;35;30;35
17;30;25;30
18;30;20;30
19;30;20;30
20;30;30;30
21;75;85;85
22;60;75;75
23;50;65;65
24;55;78;78
25;44;56;56
26;28;62;62
27;20;68;68
28;62;72;72
29;23;32;32
30;18;26;26
31;13;24;24
32;12;22;22
33;70;65;70
34;58;58;58
35;52;41;52
36;46;40;46
37;33;38;38
38;68;78;78
39;60;70;70
40;72;60;72
41;23;23;23
42;60;25;60
43;18;18;18
44;24;20;24
45;68;48;68
46;42;30;42
47;30;23;30
48;38;25;38
49;38;23;38
50;72;28;72
51;72;28;72
52;63;33;63
53;38;25;38
54;8;18;18
55;10;8;10
56;12;19;19
57;40;58;58
58;23;26;26
59;23;35;35
60;38;23;38
61;9;10;10
62;35;33;35
63;35;33;35
64;28;20;28
65;28;23;28
66;20;18;20
67;16;14;16
68;25;19;25
69;40;58;58
70;30;6;30
71;28;6;28
72;20;33;33
73;24;26;26
74;20;23;23
75;33;68;68
76;64;72;72
77;38;36;38
78;32;34;34
79;21;21;21
80;19;21;21
81;20;4;20
82;33;4;33
83;20;10;20
84;22;16;22
85;20;14;20
86;70;30;70
87;24;21;24
88;26;22;26
89;46;40;46
90;28;19;28
91;23;34;34
92;24;26;26
93;26;24;26
94;21;21;21
95;19;18;19
96;19;15;19
97;17;19;19
98;20;19;20
99;21;20;21
100;23;19;23
