Numer heksagonu;strona lewa;Strona prawa ;wartośc max
1;70;50;70
2;36;19;36
3;81;69;81
4;73;73;73
5;23;27;27
6;21;34;34
7;23;23;23
8;26;24;26
9;94;78;94
10;43;65;65
11;19;33;33
12;41;78;78
13;46;73;73
14;51;40;51
15;27;27;27
16;31;24;31
17;26;21;26
18;24;21;24
19;25;22;25
20;26;26;26
21;73;84;84
22;58;72;72
23;51;63;63
24;53;77;77
25;41;56;56
26;23;61;61
27;20;68;68
28;62;73;73
29;23;32;32
30;18;26;26
31;13;24;24
32;13;22;22
33;71;65;71
34;58;58;58
35;52;41;52
36;49;40;49
37;33;37;37
38;68;77;77
39;62;71;71
40;71;61;71
41;21;21;21
42;33;25;33
43;18;18;18
44;23;20;23
45;67;48;67
46;41;30;41
47;28;23;28
48;33;25;33
49;33;23;33
50;73;28;73
51;71;28;71
52;63;33;63
53;38;25;38
54;8;18;18
55;10;8;10
56;12;19;19
57;40;59;59
58;23;27;27
59;23;33;33
60;34;23;34
61;9;10;10
62;38;33;38
63;37;33;37
64;28;20;28
65;25;23;25
66;20;18;20
67;16;14;16
68;24;19;24
69;40;58;58
70;24;6;24
71;26;6;26
72;20;37;37
73;24;27;27
74;20;23;23
75;36;73;73
76;64;74;74
77;38;37;38
78;32;34;34
79;21;21;21
80;19;21;21
81;18;4;18
82;31;4;31
83;21;10;21
84;22;16;22
85;20;14;20
86;72;30;72
87;24;21;24
88;26;22;26
89;43;33;43
90;28;19;28
91;23;34;34
92;24;26;26
93;23;22;23
94;21;21;21
95;19;18;19
96;18;15;18
97;17;20;20
98;21;19;21
99;22;20;22
100;23;19;23
